id,symbol,code
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:41:40","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(0.0d,SexpNumber(0.0d))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:17:37","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(13L,SexpNumber(13))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:44:53","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(Double.NegativeInfinity,SexpNegInf)"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:19:35","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(0L,SexpNumber(0))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:45:53","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(Double.PositiveInfinity,SexpPosInf)"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:12:56","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(Int.MaxValue,SexpNumber(Int.MaxValue))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:9:36","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(13,SexpNumber(13))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:30:52","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(Float.NegativeInfinity,SexpNegInf)"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:39:42","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(13.0d,SexpNumber(13.0d))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:66:43","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat('blah,SexpString('blah'))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:43:62","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(Double.MinValue,SexpNumber(Double.MinValue))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:31:52","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(Float.PositiveInfinity,SexpPosInf)"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:34:40","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(SexpNaN)"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:28:60","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(Float.MaxValue,SexpNumber(Float.MaxValue))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:25:42","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(13.0f,SexpNumber(13.0f))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:40:42","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(-1.0d,SexpNumber(-1.0d))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:26:42","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(-1.0f,SexpNumber(-1.0f))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:20:58","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(Long.MaxValue,SexpNumber(Long.MaxValue))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:11:34","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(0,SexpNumber(0))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:21:58","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(Long.MinValue,SexpNumber(Long.MinValue))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:10:36","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(-1,SexpNumber(-1))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:27:40","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(0.0f,SexpNumber(0.0f))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:48:41","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(SexpNaN)"
"s-express/src/test/scala/org/ensime/sexp/SexpPackageSpec.scala:112:5","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(\nSexpCons(\nSexpCons(foosym,SexpNil),\nSexpCons(barsym,SexpNil)\n)\n)"
"s-express/src/test/scala/org/ensime/sexp/SexpPackageSpec.scala:22:78","_root_.org.ensime.sexp.SexpCons.","(SexpCons(foosym,SexpCons(barsym,SexpNil)))"
"s-express/src/test/scala/org/ensime/sexp/SexpPackageSpec.scala:77:5","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(\nSexpCons(\nfookey,\nSexpCons(\nbarsym,\nSexpCons(\nbarkey,\nSexpCons(\nfoosym,\nSexpNil\n)\n)\n)\n)\n)"
"s-express/src/test/scala/org/ensime/sexp/SexpPackageSpec.scala:18:37","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(SexpNil)"
